id,5BZCATName,SourceClassification,R.A.(J2000),Dec.(J2000),Redshift
1151,5BZGJ0839+4015,BLLac-galaxydominated,129.76287,40.26272,0.194
1152,5BZBJ0839+3618,BLLac,129.82817,36.31547,0.335
1153,5BZBJ0839+1802,BLLac,129.878,18.04644,
1154,5BZBJ0839+3540,BLLac,129.93071,35.66708,
1155,5BZQJ0839+5112,QSORLoudflatradiosp.,129.94254,51.20078,4.403
1156,5BZUJ0839+0204,BlazarUncertaintype,129.9475,2.07614,
1157,5BZBJ0839+0319,BLLac,129.95525,3.33172,1.57
1158,5BZQJ0839+0104,QSORLoudflatradiosp.,129.95671,1.07414,1.123
1159,5BZBJ0840+3440,BLLac,130.05433,34.67419,0.451
1160,5BZUJ0840+1312,BlazarUncertaintype,130.19833,13.20653,0.681
1161,5BZBJ0840+3721,BLLac,130.23358,37.35167,
1162,5BZBJ0841-3555,BLLac,130.34012,-35.91828,
1163,5BZQJ0841+7053,QSORLoudflatradiosp.,130.3515,70.89508,2.218
1164,5BZQJ0842+4018,QSORLoudflatradiosp.,130.51558,40.30875,0.152
1165,5BZQJ0842+1835,QSORLoudflatradiosp.,130.52125,18.59478,1.272
1166,5BZQJ0842+4525,QSORLoudflatradiosp.,130.56396,45.42897,1.409
1167,5BZBJ0842+0252,BLLac,130.60629,2.88133,0.425
1168,5BZQJ0843+3742,QSORLoudflatradiosp.,130.97025,37.70786,1.741
1169,5BZBJ0844+5312,BLLac,131.04879,53.21408,
1170,5BZQJ0845-6527,QSORLoudflatradiosp.,131.29729,-65.45644,2.274
1171,5BZQJ0845-5555,QSORLoudflatradiosp.,131.457,-55.92408,0.433
1172,5BZQJ0846+0641,QSORLoudflatradiosp.,131.70833,6.697,0.616
1173,5BZUJ0847-2337,BlazarUncertaintype,131.75658,-23.61717,0.059
1174,5BZBJ0847+1133,BLLac,131.80388,11.56397,0.199
1175,5BZBJ0847-0703,BLLac,131.98642,-7.05469,
1176,5BZQJ0847-0520,QSORLoudflatradiosp.,131.99475,-5.34272,1.242
1177,5BZGJ0848+8111,BLLac-galaxydominated,132.11675,81.19656,0.175
1178,5BZBJ0848+0506,BLLac,132.16525,5.10497,
1179,5BZBJ0848+6606,BLLac,132.22754,66.10258,
1180,5BZBJ0849+0206,BLLac,132.28675,2.10625,
1181,5BZBJ0849+0455,BLLac,132.38562,4.91886,
1182,5BZUJ0849+5108,BlazarUncertaintype,132.49163,51.14139,0.583
1183,5BZBJ0850+4854,BLLac,132.50146,48.91633,
1184,5BZGJ0850+4036,BLLac-galaxydominated,132.51946,40.60225,0.267
1185,5BZQJ0850-1213,QSORLoudflatradiosp.,132.54017,-12.2265,0.566
1186,5BZQJ0850+5931,QSORLoudflatradiosp.,132.54267,59.52167,1.71
1187,5BZGJ0850+3455,BLLac-galaxydominated,132.65083,34.923,0.145
1188,5BZBJ0851+0549,BLLac,132.76246,5.81831,0.486
1189,5BZBJ0851+5528,BLLac,132.89971,55.47631,
1190,5BZQJ0852+2833,QSORLoudflatradiosp.,133.02146,28.56656,1.282
1191,5BZQJ0852+4734,QSORLoudflatradiosp.,133.08554,47.58306,2.42
1192,5BZGJ0852+2433,BLLac-galaxydominated,133.12125,24.56511,0.358
1193,5BZQJ0853-0150,QSORLoudflatradiosp.,133.25554,-1.84667,1.498
1194,5BZQJ0853+2813,QSORLoudflatradiosp.,133.32429,28.23058,0.92
1195,5BZBJ0854+4408,BLLac,133.54121,44.14178,
1196,5BZBJ0854+2754,BLLac,133.54242,27.90603,0.494
1197,5BZQJ0854+5327,QSORLoudflatradiosp.,133.57333,53.45981,2.418
1198,5BZQJ0854+5757,QSORLoudflatradiosp.,133.67496,57.95833,1.322
1199,5BZBJ0854+2006,BLLac,133.70367,20.10856,0.306
1200,5BZBJ0854+6218,BLLac,133.71067,62.31394,0.267
1201,5BZBJ0855+2601,BLLac,133.77671,26.02839,0.695
1202,5BZBJ0855+4237,BLLac,133.95246,42.62028,0.517
1203,5BZQJ0855-0021,QSORLoudflatradiosp.,133.97696,-0.36283,1.363
1204,5BZGJ0856+5418,BLLac-galaxydominated,134.03475,54.31539,0.259
1205,5BZUJ0856+0140,BlazarUncertaintype,134.16046,1.66692,0.448
1206,5BZBJ0856+2057,BLLac,134.16563,20.96208,
1207,5BZBJ0856-1105,BLLac,134.17421,-11.08733,
1208,5BZQJ0856+1739,QSORLoudflatradiosp.,134.23617,17.66331,0.516
1209,5BZQJ0856+2111,QSORLoudflatradiosp.,134.2385,21.1955,2.098
1210,5BZGJ0857+0627,BLLac-galaxydominated,134.37396,6.457,0.338
1211,5BZBJ0857+0135,BLLac,134.45754,1.59175,0.281
1212,5BZQJ0858-1950,QSORLoudflatradiosp.,134.52233,-19.84358,0.659
1213,5BZBJ0859+8345,BLLac,134.79279,83.75006,0.327
1214,5BZBJ0859+0047,BLLac,134.83567,0.78669,
1215,5BZBJ0859+6217,BLLacCandidate,134.87762,62.29181,
1216,5BZQJ0900+4108,QSORLoudflatradiosp.,135.08929,41.13969,1.629
1217,5BZBJ0900+6742,BLLac,135.16142,67.7065,
1218,5BZQJ0900-2808,QSORLoudflatradiosp.,135.16683,-28.13897,2.16
1219,5BZQJ0901+0448,QSORLoudflatradiosp.,135.29942,4.81636,1.863
1220,5BZQJ0901-0037,QSORLoudflatradiosp.,135.35767,-0.61756,1.9
1221,5BZBJ0901+3752,BLLac,135.41262,37.87953,0.477
1222,5BZQJ0901-0702,QSORLoudflatradiosp.,135.43433,-7.03781,1.738
1223,5BZQJ0901+6551,QSORLoudflatradiosp.,135.4445,65.86389,2.072
1224,5BZBJ0902+4544,BLLac,135.53312,45.7425,0.289
1225,5BZQJ0902-1415,QSORLoudflatradiosp.,135.57012,-14.25858,1.333
1226,5BZQJ0902+5402,QSORLoudflatradiosp.,135.58038,54.04925,1.682
1227,5BZBJ0902+2050,BLLac,135.61212,20.84622,
1228,5BZQJ0902+4310,QSORLoudflatradiosp.,135.62883,43.17061,2.41
1229,5BZQJ0903-1721,QSORLoudflatradiosp.,135.75008,-17.35144,0.872
1230,5BZQJ0903+4651,QSORLoudflatradiosp.,135.76663,46.85114,1.462
1231,5BZGJ0903+4055,BLLac-galaxydominated,135.81133,40.93325,0.188
1232,5BZBJ0903+2853,BLLac,135.89279,28.89978,
1233,5BZQJ0903+6757,QSORLoudflatradiosp.,135.9715,67.95631,1.499
1234,5BZQJ0903+5151,QSORLoudflatradiosp.,135.99404,51.85019,1.537
1235,5BZQJ0904-2552,QSORLoudflatradiosp.,136.21746,-25.88106,1.635
1236,5BZUJ0904-5735,BlazarUncertaintype,136.22158,-57.58494,0.695
1237,5BZBJ0905+1358,BLLac,136.39579,13.96844,
1238,5BZGJ0905+4705,BLLac-galaxydominated,136.40188,47.09622,0.174
1239,5BZQJ0905+2849,QSORLoudflatradiosp.,136.42404,28.82453,1.216
1240,5BZGJ0906+4636,BLLac-galaxydominated,136.56475,46.60528,0.085
1241,5BZBJ0906-0905,BLLac,136.57521,-9.09581,
1242,5BZQJ0906+6930,QSORLoudflatradiosp.,136.62813,69.50844,5.47
1243,5BZQJ0906-2019,QSORLoudflatradiosp.,136.71379,-20.33186,0.774
1244,5BZGJ0906+4124,BLLac-galaxydominated,136.71996,41.40822,0.027
1245,5BZBJ0907+0857,BLLac,136.75033,8.96425,
1246,5BZUJ0908-0959,BlazarUncertaintype,137.00921,-9.99378,0.054
1247,5BZQJ0908+4150,QSORLoudflatradiosp.,137.14942,41.84617,0.733
1248,5BZBJ0908+1609,BLLac,137.233,16.16522,
1249,5BZBJ0909+2311,BLLac,137.25258,23.18692,0.223
1250,5BZQJ0909+0121,QSORLoudflatradiosp.,137.29204,1.35989,1.024
1251,5BZQJ0909-7445,QSORLoudflatradiosp.,137.33729,-74.75225,1.238
1252,5BZQJ0909+5216,QSORLoudflatradiosp.,137.35283,52.27572,0.41
1253,5BZUJ0909+4253,BlazarUncertaintype,137.38954,42.89625,0.67
1254,5BZBJ0909+0200,BLLac,137.41604,2.00147,
1255,5BZQJ0909-0231,QSORLoudflatradiosp.,137.43717,-2.52508,0.957
1256,5BZBJ0909+3106,BLLac,137.472,31.10086,0.272
1257,5BZBJ0910+3329,BLLac,137.65442,33.49014,
1258,5BZQJ0910+2248,QSORLoudflatradiosp.,137.67554,22.80989,2.661
1259,5BZBJ0910+2548,BLLac,137.68875,25.80356,0.385
1260,5BZBJ0910+3902,BLLac,137.71683,39.03392,
1261,5BZBJ0911+3349,BLLac,137.949,33.82131,0.456
1262,5BZBJ0911+2949,BLLac,137.96392,29.82483,0.446
1263,5BZGJ0912+5320,BLLac-galaxydominated,138.007,53.34325,0.102
1264,5BZBJ0912+2759,BLLac,138.04671,27.99108,
1265,5BZQJ0912+4126,QSORLoudflatradiosp.,138.04837,41.43592,2.563
1266,5BZGJ0912+4235,BLLac-galaxydominated,138.11346,42.59586,0.266
1267,5BZGJ0912+1555,BLLac-galaxydominated,138.12754,15.92444,0.212
1268,5BZBJ0913-2103,BLLac,138.25071,-21.05581,0.198
1269,5BZBJ0913+8133,BLLac,138.34321,81.55139,0.639
1270,5BZQJ0914+0245,QSORLoudflatradiosp.,138.65796,2.76644,0.427
1271,5BZQJ0915+0007,QSORLoudflatradiosp.,138.96542,0.12036,3.074
1272,5BZBJ0915+2933,BLLac,138.96833,29.55667,
1273,5BZBJ0915+4738,BLLac,138.97063,47.63892,0.408
1274,5BZQJ0916+3854,QSORLoudflatradiosp.,139.20375,38.90783,1.267
1275,5BZGJ0916+5238,BLLac-galaxydominated,139.21642,52.64122,0.19
1276,5BZQJ0917-2131,QSORLoudflatradiosp.,139.36258,-21.52625,0.847
1277,5BZBJ0917+4029,BLLac,139.41717,40.49161,
1278,5BZQJ0918+0636,QSORLoudflatradiosp.,139.60158,6.61481,4.217
1279,5BZBJ0918+0213,BLLac,139.70242,2.22272,
1280,5BZBJ0919+3324,BLLac,139.78662,33.41164,
1281,5BZBJ0919+1106,BLLac,139.85692,11.11653,0.425
1282,5BZBJ0920+3910,BLLac,140.06533,39.17053,0.607
1283,5BZQJ0920-2956,QSORLoudflatradiosp.,140.17996,-29.94175,0.465
1284,5BZQJ0920+4441,QSORLoudflatradiosp.,140.24358,44.69833,2.19
1285,5BZQJ0921+7136,QSORLoudflatradiosp.,140.34979,71.60344,0.594
1286,5BZQJ0921-2618,QSORLoudflatradiosp.,140.37229,-26.31206,2.3
1287,5BZQJ0921+6215,QSORLoudflatradiosp.,140.40096,62.2645,1.446
1288,5BZUJ0921-8209,BlazarUncertaintype,140.42792,-82.16006,1.291
1289,5BZBJ0921+2335,BLLac,140.43904,23.59669,
1290,5BZBJ0921+2455,BLLac,140.44496,24.92814,
1291,5BZBJ0922+2346,BLLac,140.56825,23.77931,
1292,5BZQJ0922-0529,QSORLoudflatradiosp.,140.59863,-5.48533,0.974
1293,5BZUJ0923+4125,BlazarUncertaintype,140.88042,41.42428,
1294,5BZUJ0923-2135,BlazarUncertaintype,140.91204,-21.59642,0.053
1295,5BZQJ0923+2815,QSORLoudflatradiosp.,140.96467,28.25697,0.744
1296,5BZBJ0924+0533,BLLac,141.00433,5.56261,
1297,5BZBJ0924+5300,BLLac,141.02425,53.00939,0.64
1298,5BZQJ0924+0309,QSORLoudflatradiosp.,141.06125,3.15022,0.128
1299,5BZQJ0925+0019,QSORLoudflatradiosp.,141.28258,0.32053,1.72
1300,5BZBJ0925+5958,BLLac,141.42871,59.97131,
1301,5BZBJ0925+3127,BLLac,141.43188,31.45297,
1302,5BZQJ0925+1658,QSORLoudflatradiosp.,141.45817,16.97006,1.545
1303,5BZQJ0926+4029,QSORLoudflatradiosp.,141.50179,40.49714,1.879
1304,5BZBJ0926+5411,BLLac,141.66196,54.19072,0.841
1305,5BZBJ0926+0803,BLLac,141.67579,8.05008,
1306,5BZQJ0927+3902,QSORLoudflatradiosp.,141.76254,39.03914,0.695
1307,5BZGJ0927+5327,BLLac-galaxydominated,141.79417,53.45878,0.201
1308,5BZGJ0927+5545,BLLac-galaxydominated,141.91933,55.76333,0.221
1309,5BZGJ0927-0900,BLLac-galaxydominated,141.94542,-9.00611,0.254
1310,5BZQJ0927-2034,QSORLoudflatradiosp.,141.96592,-20.58089,0.348
1311,5BZQJ0928+4446,QSORLoudflatradiosp.,142.10058,44.768,1.904
1312,5BZBJ0928+4048,BLLac,142.15596,40.81258,
1313,5BZBJ0929+1945,BLLac,142.26008,19.75697,
1314,5BZBJ0929+5013,BLLac,142.31433,50.22667,
1315,5BZBJ0929+8612,BLLac,142.42942,86.20592,
1316,5BZQJ0930+4644,QSORLoudflatradiosp.,142.64617,46.73572,2.032
1317,5BZBJ0930+4950,BLLac,142.65654,49.84044,0.187
1318,5BZQJ0930+0034,QSORLoudflatradiosp.,142.71771,0.58303,1.771
1319,5BZBJ0930+3503,BLLac,142.73033,35.06042,
1320,5BZBJ0930+3933,BLLac,142.73683,39.55989,0.638
1321,5BZGJ0932+3630,BLLac-galaxydominated,143.04004,36.50072,0.154
1322,5BZQJ0932-2016,QSORLoudflatradiosp.,143.08163,-20.277,1.236
1323,5BZQJ0932-3405,QSORLoudflatradiosp.,143.15204,-34.09958,0.936
1324,5BZBJ0932+1042,BLLac,143.164,10.70975,0.361
1325,5BZQJ0932+5306,QSORLoudflatradiosp.,143.17146,53.10939,0.597
1326,5BZQJ0933+4615,QSORLoudflatradiosp.,143.28883,46.25986,0.778
1327,5BZUJ0933+0003,BlazarUncertaintype,143.29404,0.05653,
1328,5BZQJ0933-0819,QSORLoudflatradiosp.,143.32125,-8.31969,0.903
1329,5BZBJ0934+3926,BLLac,143.52779,39.44228,
1330,5BZQJ0934+4908,QSORLoudflatradiosp.,143.56567,49.13936,2.582
1331,5BZBJ0934-1721,BLLac,143.62579,-17.35583,
1332,5BZQJ0935-3332,QSORLoudflatradiosp.,143.78846,-33.54381,2.906
1333,5BZBJ0936+1850,BLLac,144.11525,18.83425,
1334,5BZQJ0937+5008,QSORLoudflatradiosp.,144.30137,50.14781,0.276
1335,5BZBJ0938+3717,BLLac,144.53279,37.29761,0.56
1336,5BZQJ0938-0708,QSORLoudflatradiosp.,144.73375,-7.1335,1.281
1337,5BZQJ0939+4141,QSORLoudflatradiosp.,144.95675,41.69839,1.224
1338,5BZBJ0940+2603,BLLac,145.06133,26.05831,0.498
1339,5BZGJ0940+6148,BLLac-galaxydominated,145.09354,61.80728,0.211
1340,5BZQJ0941-1335,QSORLoudflatradiosp.,145.26062,-13.5975,0.551
1341,5BZQJ0941+2728,QSORLoudflatradiosp.,145.45046,27.47744,1.305
1342,5BZBJ0941+2722,BLLac,145.46837,27.37161,
1343,5BZQJ0941-8615,QSORLoudflatradiosp.,145.48175,-86.2505,3.697
1344,5BZQJ0942+6403,QSORLoudflatradiosp.,145.51629,64.05314,0.952
1345,5BZBJ0942-0759,BLLac,145.58942,-7.99811,
1346,5BZBJ0942+2844,BLLac,145.59708,28.73733,0.366
1347,5BZBJ0942+5416,BLLac,145.68875,54.27236,
1348,5BZQJ0943+1702,QSORLoudflatradiosp.,145.82175,17.03858,1.598
1349,5BZBJ0943-0709,BLLac,145.98154,-7.16394,0.433
1350,5BZBJ0944+5735,BLLac,146.13471,57.59336,
1351,5BZBJ0944+5557,BLLac,146.17279,55.96469,
1352,5BZBJ0944-1347,BLLacCandidate,146.24742,-13.79769,
1353,5BZQJ0945+4636,QSORLoudflatradiosp.,146.42538,46.61406,0.639
1354,5BZBJ0945+5757,BLLac,146.42596,57.96325,0.229
1355,5BZBJ0946+4735,BLLac,146.51862,47.58614,0.568
1356,5BZGJ0946+5819,BLLac-galaxydominated,146.56042,58.32711,0.147
1357,5BZBJ0946+0104,BLLac,146.58425,1.08111,0.577
1358,5BZQJ0946+1017,QSORLoudflatradiosp.,146.64608,10.28503,1.007
1359,5BZBJ0947+2215,BLLac,146.91075,22.25925,
1360,5BZBJ0947+3453,BLLac,146.918,34.89589,
1361,5BZQJ0947-7731,QSORLoudflatradiosp.,146.96458,-77.52647,2.528
1362,5BZQJ0948-3223,QSORLoudflatradiosp.,147.03963,-32.3965,2.14
1363,5BZGJ0948+5535,BLLac-galaxydominated,147.13337,55.59314,0.118
1364,5BZQJ0948+4039,QSORLoudflatradiosp.,147.23058,40.66239,1.249
1365,5BZQJ0948+0022,QSORLoudflatradiosp.,147.23883,0.37375,0.585
1366,5BZQJ0949+1752,QSORLoudflatradiosp.,147.41567,17.88036,0.693
1367,5BZGJ0950+1804,BLLac-galaxydominated,147.50125,18.07186,0.154
1368,5BZBJ0950+0615,BLLac,147.51446,6.25106,
1369,5BZBJ0950+4553,BLLac,147.54925,45.88892,0.399
1370,5BZBJ0951+0102,BLLac,147.86587,1.03617,0.502
1371,5BZQJ0951-2123,QSORLoudflatradiosp.,147.9315,-21.39944,0.547
1372,5BZBJ0952+3936,BLLac,148.06129,39.60442,
1373,5BZBJ0952+7502,BLLac,148.10062,75.03708,0.179
1374,5BZQJ0952+5048,QSORLoudflatradiosp.,148.11379,50.81406,1.091
1375,5BZQJ0952-2453,QSORLoudflatradiosp.,148.13187,-24.89747,2.625
1376,5BZQJ0952+3512,QSORLoudflatradiosp.,148.13346,35.21456,1.876
1377,5BZBJ0952+6538,BLLac,148.13408,65.63367,
1378,5BZBJ0953-0840,BLLac,148.26125,-8.67178,
1379,5BZQJ0953+3225,QSORLoudflatradiosp.,148.3665,32.431,1.57
1380,5BZQJ0953+1720,QSORLoudflatradiosp.,148.49679,17.34906,0.713
1381,5BZBJ0954+4914,BLLac,148.54108,49.24986,
1382,5BZUJ0954-0503,BlazarUncertaintype,148.61396,-5.05897,0.66
1383,5BZUJ0954+5719,BlazarUncertaintype,148.7315,57.33133,0.981
1384,5BZBJ0955+0833,BLLac,148.75779,8.56172,
1385,5BZUJ0955+4838,BlazarUncertaintype,148.77083,48.63861,0.534
1386,5BZBJ0955+3551,BLLac,148.78283,35.85022,0.557
1387,5BZQJ0955-1845,QSORLoudflatradiosp.,148.81117,-18.75886,2.914
1388,5BZQJ0955+4532,QSORLoudflatradiosp.,148.91596,45.53806,0.259
1389,5BZBJ0956+0156,BLLac,149.20646,1.93383,
1390,5BZQJ0956+2515,QSORLoudflatradiosp.,149.20783,25.25447,0.712
1391,5BZQJ0957-1350,QSORLoudflatradiosp.,149.32575,-13.83367,1.323
1392,5BZQJ0957-0156,QSORLoudflatradiosp.,149.36337,-1.9485,0.86
1393,5BZQJ0957+5522,QSORLoudflatradiosp.,149.40908,55.38272,0.896
1394,5BZBJ0958-0317,BLLac,149.52496,-3.2945,
1395,5BZQJ0958+4725,QSORLoudflatradiosp.,149.58196,47.41883,1.882
1396,5BZQJ0958+5039,QSORLoudflatradiosp.,149.65754,50.66597,1.154
1397,5BZQJ0958-4110,QSORLoudflatradiosp.,149.65958,-41.17589,2.934
1398,5BZBJ0958+6533,BLLac,149.69688,65.56522,0.367
1399,5BZBJ0959+2123,BLLac,149.87454,21.38889,0.365
1400,5BZUJ1000+2233,BlazarUncertaintype,150.09083,22.55517,0.419
1401,5BZBJ1000+5746,BLLac,150.20921,57.76922,0.64
1402,5BZBJ1001+2911,BLLac,150.29254,29.19375,0.558
1403,5BZQJ1001+3424,QSORLoudflatradiosp.,150.29979,34.41403,0.948
1404,5BZGJ1001+2048,BLLac-galaxydominated,150.42671,20.80506,0.344
1405,5BZQJ1001+1015,QSORLoudflatradiosp.,150.49058,10.26381,1.533
1406,5BZQJ1001-4438,QSORLoudflatradiosp.,150.49962,-44.6335,0.837
1407,5BZBJ1002+2216,BLLac,150.64342,22.27081,
1408,5BZQJ1002+1216,QSORLoudflatradiosp.,150.72021,12.27072,0.861
1409,5BZQJ1003+6813,QSORLoudflatradiosp.,150.77821,68.22133,0.77
1410,5BZQJ1003+3244,QSORLoudflatradiosp.,150.98983,32.73431,1.686
1411,5BZQJ1004+4626,QSORLoudflatradiosp.,151.05358,46.43961,2.075
1412,5BZBJ1004+3752,BLLac,151.1865,37.86997,0.44
1413,5BZQJ1004-0119,QSORLoudflatradiosp.,151.18971,-1.32139,1.345
1414,5BZQJ1006-7409,QSORLoudflatradiosp.,151.51729,-74.16225,2.242
1415,5BZBJ1006+6440,BLLac,151.55092,64.66986,
1416,5BZQJ1006+0509,QSORLoudflatradiosp.,151.65671,5.165,1.216
1417,5BZQJ1006-2159,QSORLoudflatradiosp.,151.69337,-21.989,0.33
1418,5BZBJ1006+3454,BLLac,151.73508,34.91253,0.612
1419,5BZQJ1007-0207,QSORLoudflatradiosp.,151.76812,-2.11969,1.212
1420,5BZQJ1007-1247,QSORLoudflatradiosp.,151.81346,-12.79611,2.123
1421,5BZQJ1007+5802,QSORLoudflatradiosp.,151.85367,58.03431,3.35
1422,5BZQJ1007-3333,QSORLoudflatradiosp.,151.88079,-33.55186,1.837
1423,5BZQJ1007+1356,QSORLoudflatradiosp.,151.92292,13.94156,2.715
1424,5BZBJ1008+0621,BLLac,152.00342,6.35589,0.65
1425,5BZBJ1008+4705,BLLac,152.04763,47.08928,0.343
1426,5BZQJ1008+0416,QSORLoudflatradiosp.,152.05475,4.27769,2.055
1427,5BZQJ1008+4400,QSORLoudflatradiosp.,152.08987,44.00458,1.187
1428,5BZBJ1009+0145,BLLac,152.4985,1.75933,
1429,5BZUJ1010-0730,BlazarUncertaintype,152.52129,-7.50603,
1430,5BZQJ1010+8250,QSORLoudflatradiosp.,152.56575,82.83733,0.322
1431,5BZBJ1010-3119,BLLac,152.56658,-31.31903,0.143
1432,5BZQJ1010-0200,QSORLoudflatradiosp.,152.71529,-2.00544,0.887
1433,5BZQJ1010+3330,QSORLoudflatradiosp.,152.71596,33.50494,2.067
1434,5BZBJ1011+0106,BLLac,152.81517,1.11181,
1435,5BZQJ1011+4700,QSORLoudflatradiosp.,152.84413,47.01172,2.928
1436,5BZQJ1011-0423,QSORLoudflatradiosp.,152.876,-4.39103,1.588
1437,5BZQJ1011-3223,QSORLoudflatradiosp.,152.98417,-32.39336,1.742
1438,5BZQJ1012-3304,QSORLoudflatradiosp.,153.02454,-33.07111,1.745
1439,5BZBJ1012+0630,BLLac,153.05563,6.51589,0.727
1440,5BZQJ1012+2312,QSORLoudflatradiosp.,153.06829,23.20406,0.748
1441,5BZQJ1012-3740,QSORLoudflatradiosp.,153.10029,-37.66831,0.499
1442,5BZQJ1012-4259,QSORLoudflatradiosp.,153.15392,-42.98481,2.954
1443,5BZQJ1012+2439,QSORLoudflatradiosp.,153.17242,24.6565,1.805
1444,5BZBJ1012+4229,BLLac,153.18454,42.49917,0.365
1445,5BZGJ1012+3932,BLLac-galaxydominated,153.24308,39.54411,0.171
1446,5BZQJ1013+3445,QSORLoudflatradiosp.,153.45671,34.76411,1.414
1447,5BZQJ1013+2449,QSORLoudflatradiosp.,153.47263,24.82122,1.636
1448,5BZQJ1014+2301,QSORLoudflatradiosp.,153.69612,23.02128,0.566
1449,5BZBJ1015+4926,BLLac,153.76725,49.43353,0.212
1450,5BZBJ1015+1227,BLLac,153.93342,12.45197,
1451,5BZQJ1015+5551,QSORLoudflatradiosp.,153.93508,55.85014,0.677
1452,5BZQJ1015-1952,QSORLoudflatradiosp.,153.96771,-19.87406,1.081
1453,5BZQJ1015+0109,QSORLoudflatradiosp.,153.98775,1.15381,0.78
1454,5BZQJ1016+0513,QSORLoudflatradiosp.,154.01308,5.21731,1.714
1455,5BZQJ1016+2037,QSORLoudflatradiosp.,154.18467,20.62981,3.119
1456,5BZQJ1017+6116,QSORLoudflatradiosp.,154.35787,61.27431,2.805
1457,5BZBJ1018+1906,BLLac,154.53296,19.10431,
1458,5BZQJ1018+3542,QSORLoudflatradiosp.,154.54579,35.71094,1.229
1459,5BZQJ1018+0530,QSORLoudflatradiosp.,154.61604,5.50833,1.944
1460,5BZQJ1018-3123,QSORLoudflatradiosp.,154.61979,-31.39828,0.794
1461,5BZGJ1018+3128,BLLac-galaxydominated,154.64171,31.47611,0.161
1462,5BZBJ1018+5911,BLLac,154.74392,59.19108,
1463,5BZBJ1019-2708,BLLac,154.78533,-27.14881,
1464,5BZBJ1019+6320,BLLac,154.962,63.33378,
1465,5BZQJ1019-0024,QSORLoudflatradiosp.,154.98646,-0.40272,1.13
1466,5BZGJ1020+6250,BLLac-galaxydominated,155.05738,62.83614,0.25
1467,5BZBJ1021+1625,BLLac,155.25146,16.43167,
1468,5BZUJ1021+4523,BlazarUncertaintype,155.27517,45.39219,0.364
1469,5BZQJ1021+3437,QSORLoudflatradiosp.,155.32279,34.62269,1.4
1470,5BZBJ1021+3806,BLLac,155.37029,38.11203,0.467
1471,5BZBJ1021+1411,BLLac,155.37813,14.19372,0.51
1472,5BZGJ1022+5124,BLLac-galaxydominated,155.55258,51.40008,0.142
1473,5BZQJ1022+4239,QSORLoudflatradiosp.,155.55471,42.65711,0.991
1474,5BZQJ1022+3931,QSORLoudflatradiosp.,155.65592,39.53069,0.605
1475,5BZBJ1022-0113,BLLac,155.68221,-1.21725,
1476,5BZQJ1023+2649,QSORLoudflatradiosp.,155.79625,26.82825,2.79
1477,5BZQJ1023+3948,QSORLoudflatradiosp.,155.79821,39.80428,1.255
1478,5BZQJ1023+2856,QSORLoudflatradiosp.,155.85021,28.9475,0.671
1479,5BZQJ1023+3953,QSORLoudflatradiosp.,155.88958,39.88686,1.333
1480,5BZBJ1023+3000,BLLac,155.91563,30.01603,0.433
1481,5BZBJ1023-4336,BLLac,155.98379,-43.60069,
1482,5BZQJ1024-3234,QSORLoudflatradiosp.,156.00175,-32.57114,1.568
1483,5BZQJ1024+1912,QSORLoudflatradiosp.,156.18671,19.20567,0.828
1484,5BZBJ1024+2332,BLLac,156.2235,23.54278,0.165
1485,5BZQJ1025+4143,QSORLoudflatradiosp.,156.26754,41.72567,0.682
1486,5BZBJ1025+0402,BLLac,156.346,4.04139,0.208
1487,5BZQJ1025-0509,QSORLoudflatradiosp.,156.43925,-5.16503,1.126
1488,5BZQJ1025+1253,QSORLoudflatradiosp.,156.48454,12.89694,0.663
1489,5BZQJ1026+2542,QSORLoudflatradiosp.,156.59842,25.7165,5.285
1490,5BZUJ1026+6746,BlazarUncertaintype,156.64171,67.77,1.181
1491,5BZBJ1026-8543,BLLac,156.64367,-85.72064,
1492,5BZBJ1026-1748,BLLac,156.74383,-17.81625,0.267
1493,5BZBJ1026+5147,BLLac,156.74821,51.78439,
1494,5BZBJ1027+0609,BLLac,156.76413,6.15942,0.449
1495,5BZQJ1027+4803,QSORLoudflatradiosp.,156.8045,48.05375,1.286
1496,5BZBJ1027+6317,BLLac,156.854,63.29806,
1497,5BZBJ1027+3526,BLLac,156.88496,35.43947,
1498,5BZQJ1028+0255,QSORLoudflatradiosp.,157.085,2.92289,0.715
1499,5BZGJ1028+0555,BLLac-galaxydominated,157.11504,5.92089,0.234
1500,5BZQJ1028-0236,QSORLoudflatradiosp.,157.14179,-2.61656,0.47
1501,5BZQJ1028-0100,QSORLoudflatradiosp.,157.15425,-1.00764,1.531
1502,5BZQJ1028-0844,QSORLoudflatradiosp.,157.16167,-8.74403,4.276
1503,5BZGJ1028+1702,BLLac-galaxydominated,157.16379,17.03636,0.169
1504,5BZQJ1029-1852,QSORLoudflatradiosp.,157.38792,-18.88064,1.784
1505,5BZUJ1030+3102,BlazarUncertaintype,157.74621,31.04881,0.178
1506,5BZBJ1031+5053,BLLac,157.82713,50.89328,0.361
1507,5BZUJ1031+7441,BlazarUncertaintype,157.84175,74.69953,0.123
1508,5BZQJ1031+6020,QSORLoudflatradiosp.,157.93646,60.34178,1.23
1509,5BZQJ1032-1400,QSORLoudflatradiosp.,158.02596,-14.00542,1.039
1510,5BZBJ1032+0401,BLLac,158.03487,4.0325,
1511,5BZBJ1032+0309,BLLac,158.0845,3.16367,0.323
